Godzina,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowc
0,22.4955,23.8582,21.6942,21.5243,20.8160,18.7849
1,21.5865,21.2656,20.6182,21.0285,19.9989,18.0576
2,20.5844,20.2158,19.3735,18.8314,19.1466,17.4808
3,20.1167,18.3058,18.7464,17.5639,18.5324,16.8624
4,20.0560,17.7475,17.8422,16.8519,18.0402,16.5930
5,20.2815,18.0721,17.7925,16.6402,17.9793,16.5627
6,20.3947,19.1159,18.4304,17.2502,18.8533,16.8986
7,21.2436,20.8403,19.7657,18.6704,20.0383,17.6981
8,21.9138,21.5534,21.1324,20.7345,20.3035,18.9351
9,22.3435,22.5340,21.4461,21.2254,19.9094,19.6657
10,22.3798,22.1710,20.6052,20.8046,20.3101,19.5230
11,21.8367,21.7677,19.5721,20.9990,19.7621,18.7103
12,21.7320,22.7579,19.1735,19.6321,19.0078,18.4677
13,21.2389,21.8232,18.5146,19.6457,19.2187,18.2892
14,21.2782,23.1246,17.9819,19.7113,19.2208,17.8188
15,21.5854,24.6959,17.6247,20.2244,19.2381,18.3432
16,21.6871,24.1738,17.1272,20.7549,18.5561,18.4142
17,22.2704,25.0260,17.2826,21.3945,18.6942,18.3727
18,23.8132,26.9816,18.6264,23.1989,19.1076,19.0343
19,24.9524,29.6402,20.3527,24.2446,20.8221,19.6605
20,26.4463,29.9937,21.7273,24.5063,21.6118,19.7726
21,26.4373,29.1503,23.7035,24.4752,22.1000,20.0822
22,25.1109,27.6004,22.9376,23.9178,22.0668,19.9689
23,23.7471,26.1990,22.6868,22.7122,21.3119,19.2609
