Miesiąc,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowc
1,27.8851,25.2389,18.9519,28.3606,22.8712,4.4382
2,39.3528,27.3396,43.4208,33.8701,29.5447,32.4600
3,26.7966,28.7271,27.3085,24.3228,21.1379,20.7392
4,22.9945,24.5491,18.6522,18.4036,18.3249,16.3087
5,15.7129,15.3314,13.4880,16.2687,15.4497,14.9285
6,22.4477,,16.9943,22.0222,21.7742,19.0601
7,20.1300,,14.2117,18.1857,19.8982,18.0743
8,13.1610,15.8160,9.3178,11.0967,13.1138,11.7958
9,17.5254,19.3951,18.1651,14.0444,18.8105,16.3117
10,22.3989,25.2750,23.1356,19.9135,21.6300,21.2376
11,19.5022,21.5892,17.5031,19.6952,17.5848,17.8653
12,21.0544,22.7194,18.9408,23.0858,18.0439,17.6336
